Url,Start,Stop
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188471298601,2300589224251
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188427573271,2300589993968
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188410728992,2300591006260
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188438281750,2300591506008
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188411257443,2300592329545
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188426945015,2300592823413
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188447923724,2300593887839
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2143389802993,2300688632303
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188449448181,2300692753192
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188453386040,2300789112863
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188425662655,2300789805668
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188436218186,2300790950424
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188430930741,2300791632592
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188467674359,2300792312699
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188473519869,2300888945658
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188437333083,2300889697182
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188456733456,2300890549391
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188411457082,2300891283806
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188459395545,2300891946853
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188466592962,2300989344321
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188457096407,2300989889807
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188409934498,2300990611170
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188425810704,2300991206828
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188434073509,2300991917694
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188458550757,2301031884767
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188437050292,2301031952927
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188432450887,2301089053837
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188410082908,2301089933914
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188463879449,2301090939584
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2143394707471,2301188971200
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188443469971,2301189795653
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188451419668,2301191293712
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188473626563,2301192011732
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188470085497,2301289375667
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188426255319,2301290386151
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188435537914,2301291100981
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188464108685,2301291873021
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188446214505,2301292636830
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188444311648,2301293264195
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188416340612,2301391467548
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188420478604,2301789931577
